id,user_edited,font,image,caption,parameters_chapter_title,parameters_chapter_summary,parameters_tone,created_at,user_id,parameters_switchboard_template_name,parameters_theme,parameters_prompt_template_name,parameters_photo_search_term,user_created_at,approved,has_logo
3cd960de-c4dc-4533-86d7-0497824065e7,False,https://marky-fonts.s3.us-east-2.amazonaws.com/Oswald-Regular.ttf,https://marky-image-posts.s3.amazonaws.com/27dd93f7-df08-4081-bde9-ef7a286738f4.png,"🚀 Break free from the chains of self-doubt and unleash your true potential! 💪🌟 Embrace a mindset shift and conquer your limiting beliefs, propelling your productivity to extraordinary levels. Dare to dream big, for success awaits those who refuse to settle for anything less!",The Art of Productivity,Master the art of productivity and learn how to accomplish more in less time. Discover effective time management techniques and productivity hacks that will revolutionize your workweek.,inspirational,2023-09-29T20:49:47.333531,649226bcdd601e7d0df9a3b9,mega-template-16,Mega,lacking-slacking,productivity hacks,2023-08-12T15:58:09.271370,False,True
d647b590-9f5c-49f8-a8e4-5bb283ae4b9b,False,,https://marky-image-posts.s3.amazonaws.com/334ce433-43bc-48e5-9018-ea452ff150c9.png,🎵🔓 Unlock your musical potential with a journey through metal genres! 🤘🎸 Let go of confusion and dive deep into the world of 'Subgenres and Diversification' to discover the diverse sounds and unleash your true metalhead spirit. 🌟🔥 #MetalMusic #ExplorationIsKey,Subgenres and Diversification,"Explore the diverse subgenres that emerged in the metal scene, from thrash metal and death metal to black metal and power metal. Uncover the unique characteristics and influences that define each subgenre.",informational,2023-10-06T07:27:40.432659,19c5caba-be95-43ad-b7d0-c8388e734cc5,karate-template-12,Karate,youre-not-you-just-2,underground metal,2023-10-06T07:08:38.301883,False,True
c5a74f17-b255-44de-9556-8418d56c423c,False,https://marky-fonts.s3.us-east-2.amazonaws.com/Avenir+Regular.ttf,https://marky-image-posts.s3.amazonaws.com/3f4732a2-edea-4359-bee5-25d8fb7772c8.png,Want to achieve financial independence? Forget about overnight billionaire dreams and focus on a smarter approach. Discover the power of strategic investments in the short-term rental market for a positive and sustainable financial future. Start your journey today!,Empowering Individuals to Build Wealth,Discover how Momentary Manor empowers individuals to build wealth through the strategic utilization of other people's assets in the short-term rental market.,promotional,2023-10-09T23:22:17.518405,95b3adcf-7e5f-4f84-880b-577da1c1044a,bnw-template-5,black & white,unrealistic-goal,wealth building,2023-10-09T05:21:22.461028,True,True
d0e89121-2263-4e9e-bd9d-aec1ea120af6,False,https://marky-fonts.s3.us-east-2.amazonaws.com/GreatVibes-Regular.ttf,https://marky-image-posts.s3.amazonaws.com/760c4953-d8af-42f3-9165-7b3d75922473.png,Unlock the secrets of success with our unique investment strategies! Don't let cosmic influence pass you by - embrace the power of knowledge and seize every opportunity that comes your way. Start your journey towards financial enlightenment today!,Investing Strategies for Each Zodiac Sign,"Uncover investment strategies tailored to each zodiac sign, allowing you to make informed decisions and maximize your financial growth.",inspirational,2023-10-03T23:26:58.140374,cfef77e2-6acd-469b-a5f4-1a74d7b32506,surprised-man-meme,meme,surprised-man-meme-prompt,,2023-10-03T21:48:50.565136,False,True
5e5666b5-f246-420d-b3e1-2f87d095c9d4,False,,https://marky-image-posts.s3.us-east-2.amazonaws.com/2f8cb38b-c754-4a6d-abca-9156e1b22050.png,"Contrary to popular belief, recent studies show smartphones don't decrease attention span. Our ability to focus remains intact while using devices. Stay informed, challenge tech myths! #StayFocused #TechMythsDebunked",Tech myths busted,Tech Myths Busted,informational,2023-09-03T02:03:29.662594,6488ad4ef7a1730c590e374d,coffee-template-83,coffee,cta-belief,smartphones,2023-08-02T16:28:52.303184,False,False
7d39d487-4609-4475-8ac1-004705bba2b6,False,,https://marky-image-posts.s3.amazonaws.com/b8459035-0fff-4f81-8123-77bb5ab4a493.png,📢🎓 Don't believe rumors! Conservatism thrives on campuses. 🌟🦅 Join UW College Republicans for diverse perspectives and meaningful conversations. 🗣️💪 Make a difference in shaping the future!,Introduction to UW College Republicans,"Learn about the mission and values of the UW College Republicans, the leading conservative club at the University of Washington, as they strive to provide a voice against liberal ideologies and agendas.",promotional,2023-10-01T16:27:56.962187,c23bc5a9-c9bd-48f1-91c4-ea83d94da948,blue-template-59,blue,dont-give-up,conservative students,2023-09-24T21:33:01.277639,False,True
e6e6fcfa-447f-4081-af93-e41ed13b91aa,False,,https://marky-image-posts.s3.amazonaws.com/dc7762b6-d060-4f9a-a998-0cb7bcf8d09e.png,"Unleash Jiu Jitsu's power! It builds strength, both physical and mental. Embrace the challenge, unlock resilience, and transform mind and body. #JiuJitsu #MentalStrength #PhysicalProwess",Building Resilience,"Develop mental and physical resilience through Jiu Jitsu training, enabling you to overcome challenges both on and off the mats.",informational,2023-09-22T06:11:18.117578,3335b624-615f-49ec-955c-7128ef149ca0,karate-template-1,Karate,cta-belief,overcome challenges,2023-09-09T23:42:14.107415,False,True
56c172a5-f8aa-4393-8781-c2506e37ebd6,False,,https://marky-image-posts.s3.amazonaws.com/6d677542-cfe6-4e31-bde4-74e15a487cf9.png,"Embrace cultural understanding, expand horizons! In a diverse world, learn about different cultures, bridge gaps. Respect differences, create inclusive, harmonious society.",The Power of Cultural Understanding,"Explore how cultural understanding can bridge divides and foster empathy, leading to a more harmonious and inclusive society.",informational,2023-10-10T21:14:48.630275,fb831658-19f5-4af3-b927-7a58e638f742,blue-template-61,blue,dont-give-up-2,cultural integration,2023-10-09T17:15:22.327563,False,True
78771ec2-15e0-467b-a1d4-e5cb27fbfbf6,False,https://marky-fonts.s3.us-east-2.amazonaws.com/Poppins-Regular.ttf,https://marky-image-posts.s3.amazonaws.com/6adfba2f-d4f4-4f28-9751-af0000d0f011.png,", it's time to step up your game. Conversion rate optimization (CRO) is crucial for businesses to maximize their online success. Stay ahead of the competition by focusing on CRO and watch your website's performance soar. #ConversionRateOptimization #OnlineSuccess",Improving Conversion Rate,"Learn effective strategies to improve your business's conversion rate and increase customer engagement, ultimately driving more profit.",informational,2023-09-19T15:52:34.425163,30b19fbb-2994-4b10-a7ed-451fc17f60cc,confused-meme-template,meme,questionable-decision-prompt,,2023-09-19T14:48:16.136865,False,False
f221f871-311e-4f37-be1d-eb64f5651a80,False,,https://marky-image-posts.s3.us-east-2.amazonaws.com/6d26cff0-9bea-4631-92c3-895e007c772a.png,"Master AI with our guide. Each step, from identification to integration, is crucial. Tune in to 'Testing and Validation' for top-notch AI performance. Click here for more info: https://bit.ly/3Pd09A0",Testing and Validation,Explore the crucial steps of testing and validating AI models to ensure their accuracy and reliability. Learn how to evaluate the performance of AI models and make necessary improvements.,promotional,2023-08-29T19:22:32.289357,e54d2ee4-54fe-453f-8356-9eaa77082fb1,teal-template-63,teal,analogy,AI perfection,2023-08-25T15:06:40.642143,True,True
