id,user_edited,font,image,caption,parameters_chapter_title,parameters_chapter_summary,parameters_tone,created_at,user_id,parameters_switchboard_template_name,parameters_theme,parameters_prompt_template_name,parameters_photo_search_term,user_created_at,approved,has_logo,prompt_text
3cd960de-c4dc-4533-86d7-0497824065e7,False,https://marky-fonts.s3.us-east-2.amazonaws.com/Oswald-Regular.ttf,https://marky-image-posts.s3.amazonaws.com/27dd93f7-df08-4081-bde9-ef7a286738f4.png,break free chains selfdoubt unleash true potential embrace mindset shift conquer limiting beliefs propelling productivity extraordinary levels dare dream big success awaits refuse settle anything less,art productivity,master art productivity learn accomplish less time discover effective time management techniques productivity hacks revolutionize workweek,inspirational,2023-09-29T20:49:47.333531,649226bcdd601e7d0df9a3b9,mega-template-16,mega,lacking-slacking,productivity hacks,2023-08-12T15:58:09.271370,False,True,user edit post caption break free chains selfdoubt unleash true potential embrace mindset shift conquer limiting beliefs propelling productivity extraordinary levels dare dream big success awaits refuse settle anything less chapter title art productivity summary master art productivity learn accomplish less time discover effective time management techniques productivity hacks revolutionize workweek search term used productivity hacks tone inspirational theme mega logo
d647b590-9f5c-49f8-a8e4-5bb283ae4b9b,False,,https://marky-image-posts.s3.amazonaws.com/334ce433-43bc-48e5-9018-ea452ff150c9.png,unlock musical potential journey metal genres let go confusion dive deep world subgenres diversification discover diverse sounds unleash true metalhead spirit metalmusic explorationiskey,subgenres diversification,explore diverse subgenres emerged metal scene thrash metal death metal black metal power metal uncover unique characteristics influences define subgenre,informational,2023-10-06T07:27:40.432659,19c5caba-be95-43ad-b7d0-c8388e734cc5,karate-template-12,karate,youre-not-you-just-2,underground metal,2023-10-06T07:08:38.301883,False,True,user edit post caption unlock musical potential journey metal genres let go confusion dive deep world subgenres diversification discover diverse sounds unleash true metalhead spirit metalmusic explorationiskey chapter title subgenres diversification summary explore diverse subgenres emerged metal scene thrash metal death metal black metal power metal uncover unique characteristics influences define subgenre search term used underground metal tone informational theme karate logo
c5a74f17-b255-44de-9556-8418d56c423c,False,https://marky-fonts.s3.us-east-2.amazonaws.com/Avenir+Regular.ttf,https://marky-image-posts.s3.amazonaws.com/3f4732a2-edea-4359-bee5-25d8fb7772c8.png,want achieve financial independence forget overnight billionaire dreams focus smarter approach discover power strategic investments shortterm rental market positive sustainable financial future start journey today,empowering individuals build wealth,discover momentary manor empowers individuals build wealth strategic utilization peoples assets shortterm rental market,promotional,2023-10-09T23:22:17.518405,95b3adcf-7e5f-4f84-880b-577da1c1044a,bnw-template-5,black white,unrealistic-goal,wealth building,2023-10-09T05:21:22.461028,True,True,user edit post caption want achieve financial independence forget overnight billionaire dreams focus smarter approach discover power strategic investments shortterm rental market positive sustainable financial future start journey today chapter title empowering individuals build wealth summary discover momentary manor empowers individuals build wealth strategic utilization peoples assets shortterm rental market search term used wealth building tone promotional theme black white logo
d0e89121-2263-4e9e-bd9d-aec1ea120af6,False,https://marky-fonts.s3.us-east-2.amazonaws.com/GreatVibes-Regular.ttf,https://marky-image-posts.s3.amazonaws.com/760c4953-d8af-42f3-9165-7b3d75922473.png,unlock secrets success unique investment strategies let cosmic influence pass embrace power knowledge seize every opportunity comes way start journey towards financial enlightenment today,investing strategies zodiac sign,uncover investment strategies tailored zodiac sign allowing make informed decisions maximize financial growth,inspirational,2023-10-03T23:26:58.140374,cfef77e2-6acd-469b-a5f4-1a74d7b32506,surprised-man-meme,meme,surprised-man-meme-prompt,nan,2023-10-03T21:48:50.565136,False,True,user edit post caption unlock secrets success unique investment strategies let cosmic influence pass embrace power knowledge seize every opportunity comes way start journey towards financial enlightenment today chapter title investing strategies zodiac sign summary uncover investment strategies tailored zodiac sign allowing make informed decisions maximize financial growth search term used nan tone inspirational theme meme logo
5e5666b5-f246-420d-b3e1-2f87d095c9d4,False,,https://marky-image-posts.s3.us-east-2.amazonaws.com/2f8cb38b-c754-4a6d-abca-9156e1b22050.png,contrary popular belief recent studies show smartphones decrease attention span ability focus remains intact using devices stay informed challenge tech myths stayfocused techmythsdebunked,tech myths busted,tech myths busted,informational,2023-09-03T02:03:29.662594,6488ad4ef7a1730c590e374d,coffee-template-83,coffee,cta-belief,smartphones,2023-08-02T16:28:52.303184,False,False,user edit post caption contrary popular belief recent studies show smartphones decrease attention span ability focus remains intact using devices stay informed challenge tech myths stayfocused techmythsdebunked chapter title tech myths busted summary tech myths busted search term used smartphones tone informational theme coffee logo
7d39d487-4609-4475-8ac1-004705bba2b6,False,,https://marky-image-posts.s3.amazonaws.com/b8459035-0fff-4f81-8123-77bb5ab4a493.png,believe rumors conservatism thrives campuses join uw college republicans diverse perspectives meaningful conversations make difference shaping future,introduction uw college republicans,learn mission values uw college republicans leading conservative club university washington strive provide voice liberal ideologies agendas,promotional,2023-10-01T16:27:56.962187,c23bc5a9-c9bd-48f1-91c4-ea83d94da948,blue-template-59,blue,dont-give-up,conservative students,2023-09-24T21:33:01.277639,False,True,user edit post caption believe rumors conservatism thrives campuses join uw college republicans diverse perspectives meaningful conversations make difference shaping future chapter title introduction uw college republicans summary learn mission values uw college republicans leading conservative club university washington strive provide voice liberal ideologies agendas search term used conservative students tone promotional theme blue logo
e6e6fcfa-447f-4081-af93-e41ed13b91aa,False,,https://marky-image-posts.s3.amazonaws.com/dc7762b6-d060-4f9a-a998-0cb7bcf8d09e.png,unleash jiu jitsus power builds strength physical mental embrace challenge unlock resilience transform mind body jiujitsu mentalstrength physicalprowess,building resilience,develop mental physical resilience jiu jitsu training enabling overcome challenges mats,informational,2023-09-22T06:11:18.117578,3335b624-615f-49ec-955c-7128ef149ca0,karate-template-1,karate,cta-belief,overcome challenges,2023-09-09T23:42:14.107415,False,True,user edit post caption unleash jiu jitsus power builds strength physical mental embrace challenge unlock resilience transform mind body jiujitsu mentalstrength physicalprowess chapter title building resilience summary develop mental physical resilience jiu jitsu training enabling overcome challenges mats search term used overcome challenges tone informational theme karate logo
56c172a5-f8aa-4393-8781-c2506e37ebd6,False,,https://marky-image-posts.s3.amazonaws.com/6d677542-cfe6-4e31-bde4-74e15a487cf9.png,embrace cultural understanding expand horizons diverse world learn different cultures bridge gaps respect differences create inclusive harmonious society,power cultural understanding,explore cultural understanding bridge divides foster empathy leading harmonious inclusive society,informational,2023-10-10T21:14:48.630275,fb831658-19f5-4af3-b927-7a58e638f742,blue-template-61,blue,dont-give-up-2,cultural integration,2023-10-09T17:15:22.327563,False,True,user edit post caption embrace cultural understanding expand horizons diverse world learn different cultures bridge gaps respect differences create inclusive harmonious society chapter title power cultural understanding summary explore cultural understanding bridge divides foster empathy leading harmonious inclusive society search term used cultural integration tone informational theme blue logo
78771ec2-15e0-467b-a1d4-e5cb27fbfbf6,False,https://marky-fonts.s3.us-east-2.amazonaws.com/Poppins-Regular.ttf,https://marky-image-posts.s3.amazonaws.com/6adfba2f-d4f4-4f28-9751-af0000d0f011.png,time step game conversion rate optimization cro crucial businesses maximize online success stay ahead competition focusing cro watch websites performance soar conversionrateoptimization onlinesuccess,improving conversion rate,learn effective strategies improve businesss conversion rate increase customer engagement ultimately driving profit,informational,2023-09-19T15:52:34.425163,30b19fbb-2994-4b10-a7ed-451fc17f60cc,confused-meme-template,meme,questionable-decision-prompt,nan,2023-09-19T14:48:16.136865,False,False,user edit post caption time step game conversion rate optimization cro crucial businesses maximize online success stay ahead competition focusing cro watch websites performance soar conversionrateoptimization onlinesuccess chapter title improving conversion rate summary learn effective strategies improve businesss conversion rate increase customer engagement ultimately driving profit search term used nan tone informational theme meme logo
f221f871-311e-4f37-be1d-eb64f5651a80,False,,https://marky-image-posts.s3.us-east-2.amazonaws.com/6d26cff0-9bea-4631-92c3-895e007c772a.png,master ai guide step identification integration crucial tune testing validation topnotch ai performance click info,testing validation,explore crucial steps testing validating ai models ensure accuracy reliability learn evaluate performance ai models make necessary improvements,promotional,2023-08-29T19:22:32.289357,e54d2ee4-54fe-453f-8356-9eaa77082fb1,teal-template-63,teal,analogy,ai perfection,2023-08-25T15:06:40.642143,True,True,user edit post caption master ai guide step identification integration crucial tune testing validation topnotch ai performance click info chapter title testing validation summary explore crucial steps testing validating ai models ensure accuracy reliability learn evaluate performance ai models make necessary improvements search term used ai perfection tone promotional theme teal logo
